,index,release date,pack_id,pack name,PC1,PC2,PC3
0,0,2015-01-13,GP01,Outdoor Retreat,0.9771820105036902,-13.519428601352123,19.98907718563654
1,1,2015-07-06,GP02,Spa Day,11.52152466211479,-15.062673034206512,7.640686907889798
2,2,2016-06-07,GP03,Dine Out,7.412062672072115,-18.648617943405753,10.673065073652658
3,3,2017-01-24,GP04,Vampires,7.854409738301516,27.265971006738976,5.448358297842955
4,4,2017-05-30,GP05,Parenthood,32.27151434448041,-5.83234759904343,-13.373702420094144
5,5,2018-02-27,GP06,Jungle Adventure,11.873296610169136,-4.154991000851965,7.9116455955113185
6,6,2019-02-26,GP07,StrangerVille,-10.9660881577497,4.36577875647622,15.577828645884304
7,7,2019-09-10,GP08,Realm of Magic,5.156206243123673,24.917462425292843,2.4224086487883807
8,8,2020-09-08,GP09,Star Wars: Journey to Batuu,-53.17355828027158,-7.39031372153864,-13.061847353174198
9,9,2021-06-01,GP10,Dream Home Decorator,25.485545446144656,-7.667278045989823,-28.731044464219803
10,10,2022-02-23,GP11,My Wedding Stories,-28.187813732515583,-12.859252742485529,-8.683520941923067
11,11,2022-06-16,GP12,Werewolves,-10.224281556373086,28.585690500365786,-5.812955175794698
